iter	Passed	Remaining
427	562	751
428	564	751
429	566	750
430	567	749
431	569	748
432	570	747
433	572	746
434	573	745
435	575	743
436	576	743
437	578	742
438	580	741
439	582	740
440	583	739
441	584	738
442	586	737
443	587	735
444	588	734
445	590	732
446	591	731
447	592	730
448	593	728
449	595	727
450	596	726
451	598	725
452	599	723
453	600	722
454	601	720
455	603	719
456	604	718
457	605	716
458	606	715
459	608	713
460	609	712
461	610	711
462	612	710
463	613	709
464	615	707
465	616	706
466	617	705
467	618	703
468	620	702
469	621	701
470	622	699
471	624	698
472	625	696
473	627	695
474	628	694
475	629	693
476	630	691
477	632	690
478	633	689
479	634	687
480	636	686
481	637	685
482	638	683
483	640	682
484	641	681
485	643	680
486	644	679
487	646	677
488	647	676
489	648	674
490	649	673
491	651	672
492	652	670
493	653	669
494	654	667
495	655	666
496	657	665
497	659	664
498	660	663
499	661	661
500	662	660
501	664	659
502	665	657
503	666	656
504	668	654
505	669	653
506	670	651
507	672	650
508	673	649
509	674	648
510	676	647
511	677	645
512	679	644
513	680	643
514	681	641
515	683	640
516	684	639
517	685	637
518	686	636
519	688	635
520	689	634
521	691	632
522	692	631
523	693	630
524	695	629
525	696	627
526	697	626
527	699	624
528	700	623
529	701	622
530	703	620
531	704	619
532	705	618
533	706	616
534	708	615
535	709	614
536	710	612
537	711	611
538	712	609
539	714	608
540	715	607
541	716	605
542	718	604
543	719	603
544	721	601
545	722	600
546	723	599
547	724	597
548	726	596
549	727	595
550	728	593
551	730	592
552	731	591
553	732	589
554	734	588
555	735	587
556	736	586
557	738	584
558	739	583
559	740	582
560	742	580
561	743	579
562	744	577
563	745	576
564	746	575
565	748	573
566	749	572
567	750	571
568	752	569
569	753	568
570	754	566
571	755	565
572	757	564
573	758	562
574	759	561
575	760	559
576	761	558
577	762	557
578	764	555
579	765	554
580	766	552
581	768	551
582	769	550
583	770	548
584	771	547
585	772	546
586	774	544
587	775	543
588	776	541
589	777	540
590	778	538
591	779	537
592	781	536
593	782	535
594	784	533
595	785	532
596	786	531
597	788	529
598	789	528
599	790	526
600	791	525
601	792	524
602	793	522
603	794	521
604	796	519
605	797	518
606	798	517
607	800	515
608	801	514
609	802	513
610	803	511
611	804	510
612	805	508
613	807	507
614	808	505
615	809	504
616	810	503
617	811	501
618	813	500
619	814	499
620	815	497
621	816	496
622	818	495
623	819	493
624	820	492
625	821	490
626	822	489
627	823	487
628	824	486
629	826	485
630	827	483
631	828	482
632	830	481
633	831	480
634	832	478
635	834	477
636	835	475
637	836	474
638	837	473
639	838	471
640	839	470
641	840	468
642	841	467
643	843	466
644	844	464
645	845	463
646	847	462
647	848	460
648	849	459
649	850	458
650	852	456
651	853	455
652	854	454
653	855	452
654	856	451
655	857	449
656	859	448
657	860	447
658	862	446
659	863	444
660	864	443
661	865	442
662	867	440
663	868	439
664	869	437
665	870	436
666	871	435
667	873	433
668	874	432
669	875	431
670	876	429
671	878	428
672	879	427
673	881	426
674	882	424
675	883	423
676	884	422
677	886	420
678	887	419
679	888	418
680	889	416
681	891	415
682	892	414
683	893	412
684	895	411
685	896	410
686	897	408
687	898	407
688	899	406
689	900	404
690	902	403
691	903	401
692	904	400
693	905	399
694	906	397
695	908	396
696	909	395
697	910	393
698	911	392
699	912	391
700	914	389
701	915	388
702	916	387
703	917	385
704	918	384
705	919	383
706	920	381
707	922	380
708	923	379
709	924	377
710	926	376
711	927	375
712	928	373
713	929	372
714	930	370
715	931	369
716	933	368
717	934	366
718	935	365
719	936	364
720	937	362
721	939	361
722	940	360
723	942	359
724	943	357
725	944	356
726	945	355
727	946	353
728	947	352
729	948	350
730	950	349
731	951	348
732	952	346
733	953	345
734	954	344
735	956	343
736	957	341
737	958	340
738	960	339
739	961	337
740	962	336
741	963	334
742	964	333
743	965	332
744	966	330
745	967	329
746	968	328
747	970	326
748	971	325
749	973	324
750	974	323
751	976	321
752	977	320
753	978	319
754	980	318
755	981	316
756	982	315
757	983	314
758	985	312
759	986	311
760	988	310
761	989	309
762	990	307
763	991	306
764	992	305
765	994	303
766	995	302
767	996	301
768	997	299
769	998	298
770	999	297
771	1001	295
772	1002	294
773	1004	293
774	1005	291
775	1006	290
776	1008	289
777	1009	287
778	1010	286
779	1011	285
780	1013	284
781	1014	282
782	1015	281
783	1016	280
784	1018	278
785	1019	277
786	1021	276
787	1022	275
788	1023	273
789	1024	272
790	1026	271
791	1027	269
792	1028	268
793	1030	267
794	1031	265
795	1032	264
796	1034	263
797	1035	262
798	1036	260
799	1037	259
800	1039	258
801	1040	256
802	1042	255
803	1043	254
804	1044	253
805	1045	251
806	1046	250
807	1047	248
808	1049	247
809	1050	246
810	1052	245
811	1053	243
812	1054	242
813	1056	241
814	1058	240
815	1059	238
816	1060	237
817	1062	236
818	1063	234
819	1064	233
820	1066	232
821	1067	231
822	1069	229
823	1070	228
824	1072	227
825	1073	226
826	1074	224
827	1076	223
828	1077	222
829	1078	220
830	1080	219
831	1081	218
832	1082	217
833	1084	215
834	1085	214
835	1086	213
836	1087	211
837	1089	210
838	1090	209
839	1091	207
840	1092	206
841	1093	205
842	1094	203
843	1096	202
844	1097	201
845	1098	200
846	1099	198
847	1101	197
848	1102	196
849	1103	194
850	1104	193
851	1105	192
852	1106	190
853	1108	189
854	1109	188
855	1110	186
856	1111	185
857	1112	184
858	1114	182
859	1115	181
860	1116	180
861	1117	178
862	1118	177
863	1120	176
864	1121	175
865	1122	173
866	1123	172
867	1124	171
868	1126	169
869	1127	168
870	1129	167
871	1130	165
872	1131	164
873	1132	163
874	1133	161
875	1135	160
876	1136	159
877	1137	158
878	1138	156
879	1139	155
880	1140	154
881	1142	152
882	1143	151
883	1144	150
884	1145	148
885	1147	147
886	1148	146
887	1149	144
888	1150	143
889	1152	142
890	1153	141
891	1154	139
892	1155	138
893	1156	137
894	1157	135
895	1158	134
896	1160	133
897	1161	131
898	1163	130
899	1164	129
900	1165	128
901	1166	126
902	1167	125
903	1168	124
904	1170	122
905	1171	121
906	1172	120
907	1173	118
908	1174	117
909	1176	116
910	1177	115
911	1178	113
912	1179	112
913	1180	111
914	1181	109
915	1182	108
916	1184	107
917	1185	105
918	1186	104
919	1187	103
920	1189	102
921	1190	100
922	1192	99
923	1193	98
924	1194	96
925	1195	95
926	1197	94
927	1198	92
928	1199	91
929	1200	90
930	1201	89
931	1202	87
932	1203	86
933	1205	85
934	1206	83
935	1208	82
936	1209	81
937	1210	80
938	1211	78
939	1212	77
940	1213	76
941	1215	74
942	1216	73
943	1217	72
944	1218	70
945	1219	69
946	1220	68
947	1221	67
948	1223	65
949	1224	64
950	1226	63
951	1227	61
952	1228	60
953	1229	59
954	1230	58
955	1232	56
956	1233	55
957	1234	54
958	1235	52
959	1236	51
960	1238	50
961	1239	48
962	1240	47
963	1241	46
964	1243	45
965	1244	43
966	1245	42
967	1246	41
968	1247	39
969	1248	38
970	1249	37
971	1251	36
972	1252	34
973	1254	33
974	1255	32
975	1257	30
976	1258	29
977	1259	28
978	1260	27
979	1261	25
980	1262	24
981	1263	23
982	1265	21
983	1266	20
984	1267	19
985	1268	18
986	1269	16
987	1270	15
988	1272	14
989	1273	12
990	1274	11
991	1275	10
992	1276	9
993	1277	7
994	1279	6
995	1280	5
996	1281	3
997	1282	2
998	1284	1
999	1285	0
