iter	Logloss
0	0.6873215895
1	0.683384822
2	0.678564414
3	0.6742870624
4	0.6703362098
5	0.6652010404
6	0.6621561947
7	0.6580500154
8	0.6549749782
9	0.6516891219
10	0.6472228613
11	0.6435883351
12	0.640035776
13	0.6354937431
14	0.6329237457
15	0.6296680157
16	0.625980475
17	0.6224785177
18	0.619785211
19	0.6170819926
20	0.6143625374
21	0.6112930428
22	0.6084581685
23	0.605049981
24	0.6021664611
25	0.5987372765
26	0.5960103875
27	0.5935037727
28	0.5912299523
29	0.5893441877
30	0.5872364533
31	0.5842921591
32	0.5816794501
33	0.5789582342
34	0.5761880467
35	0.5739599375
36	0.5713475545
37	0.5691844582
38	0.5673708141
39	0.5652122824
40	0.563170539
41	0.560843052
42	0.5585503211
43	0.5563537076
44	0.5540716709
45	0.5519385053
46	0.5494101109
47	0.54696414
48	0.5447881324
49	0.5424129127
50	0.5408729814
51	0.5391963731
52	0.5374817155
53	0.535171248
54	0.5336876242
55	0.5318044353
56	0.529584151
57	0.5271620139
58	0.525358738
59	0.5234195351
60	0.5213314285
61	0.5197449057
62	0.517905276
63	0.516180446
64	0.5145628187
65	0.512963189
66	0.511094672
67	0.5094812507
68	0.5074998252
69	0.5059697078
70	0.5038935343
71	0.5022810259
72	0.5008325821
73	0.4992513086
74	0.4978330563
75	0.4959594205
76	0.4948546581
77	0.4928698417
78	0.4914869651
79	0.4901243357
80	0.4885545388
81	0.487219297
82	0.4853258051
83	0.4837976113
84	0.4820595114
85	0.4806071876
86	0.479075603
87	0.4777532724
88	0.4760464399
89	0.4744261717
90	0.4732190646
91	0.471694229
92	0.4702397534
93	0.4690144857
94	0.4676004067
95	0.4666335929
96	0.4653388129
97	0.4640071249
98	0.4627698589
99	0.4618011214
100	0.4600258852
101	0.4586633536
102	0.4573951786
103	0.4564456451
104	0.4552033253
105	0.4543210543
106	0.4533244728
107	0.4518001915
108	0.450803773
109	0.4495626596
110	0.4486019428
111	0.4476711567
112	0.4464610173
113	0.4456221752
114	0.4445271614
115	0.4435308081
116	0.4427941477
117	0.4415435465
118	0.4405732114
119	0.4390691121
120	0.4375811846
121	0.4365895589
122	0.4351002294
123	0.43432402
124	0.4332356249
125	0.4322628771
126	0.4312014131
127	0.4302524012
128	0.4293172787
129	0.428277464
130	0.4269658928
131	0.4259203397
132	0.4249900753
133	0.423533513
134	0.4228422051
135	0.4217926417
136	0.4207543267
137	0.4197985005
138	0.4187959198
139	0.4174096849
140	0.4165126768
141	0.415552449
142	0.4145352616
143	0.4136746072
144	0.4128970285
145	0.4121417184
146	0.4108890957
147	0.4100895743
148	0.4088777721
149	0.4079433017
150	0.4071408785
151	0.4062803546
152	0.4054650201
153	0.4048207601
154	0.4042203854
155	0.4030844534
156	0.4023920043
157	0.4011724749
158	0.4004304674
159	0.3998024117
160	0.3989396381
161	0.398307083
162	0.3975514795
163	0.3967529036
164	0.3959128877
165	0.3949685382
166	0.3940402952
167	0.3935516227
168	0.3927180624
169	0.392151694
170	0.3913975251
171	0.3905505319
172	0.3899596777
173	0.3892446013
174	0.3884626209
175	0.3878388364
176	0.3873779753
177	0.3864642086
178	0.3857483823
179	0.3851183378
180	0.3847033509
181	0.3839350643
182	0.3831853622
183	0.3822757688
184	0.3812828064
185	0.3803049723
186	0.3796337812
187	0.379099365
188	0.3784534422
189	0.3779036041
190	0.3770467318
191	0.3762024447
192	0.375547947
193	0.3748594757
194	0.3739610982
195	0.3734329419
196	0.3727513501
197	0.3719019442
198	0.3712406321
199	0.3705253927
200	0.3696717808
201	0.3689988617
202	0.3682663746
203	0.3673385881
204	0.3670053075
205	0.3664754884
206	0.3657772358
207	0.3649738996
208	0.3642462054
209	0.3638795054
210	0.3633934738
211	0.3627606579
212	0.3620493962
