iter	Logloss
213	0.3611892309
214	0.360501216
215	0.3598383064
216	0.3591739622
217	0.3584901859
218	0.3580382257
219	0.3573251056
220	0.3565923577
221	0.3558592511
222	0.3552139804
223	0.3545388116
224	0.3540759942
225	0.3535600972
226	0.3528843415
227	0.3523228637
228	0.3516506945
229	0.3511279179
230	0.3505133278
231	0.3496982868
232	0.3492134942
233	0.3485455309
234	0.3481129703
235	0.3471180842
236	0.3464543921
237	0.3458027962
238	0.3451995524
239	0.3446077526
240	0.3441324805
241	0.3436169747
242	0.3431190426
243	0.342498388
244	0.3419892075
245	0.3415782961
246	0.3412323324
247	0.3406527919
248	0.3401469043
249	0.3396914229
250	0.3391656794
251	0.3387518989
252	0.3382711166
253	0.3378101903
254	0.3371346629
255	0.3364231077
256	0.3360277486
257	0.3354121803
258	0.3350226247
259	0.3344809703
260	0.333922916
261	0.3335198296
262	0.3331748441
263	0.3326684675
264	0.3321318667
265	0.3315258189
266	0.3309504843
267	0.3302677839
268	0.3299256675
269	0.329400087
270	0.3290332566
271	0.3284974057
272	0.3281701569
273	0.3276440873
274	0.3272395338
275	0.3267233107
276	0.3262603303
277	0.3258085984
278	0.3252065936
279	0.3246682322
280	0.3241398151
281	0.3236921914
282	0.3230610709
283	0.3224893554
284	0.3220647828
285	0.3215578193
286	0.3213005718
287	0.3206653758
288	0.3202372168
289	0.3196656317
290	0.3191432138
291	0.318566412
292	0.3178414891
293	0.3174316537
294	0.3170006907
295	0.3166736049
296	0.3161584577
297	0.3154585423
298	0.3151577028
299	0.3147157522
300	0.314365713
301	0.3138256888
302	0.3133616651
303	0.3129305065
304	0.3125756419
305	0.3122908111
306	0.3116193592
307	0.3111600305
308	0.3107538468
309	0.310299963
310	0.3099154937
311	0.3092089922
312	0.308771867
313	0.3084600074
314	0.3080091558
315	0.3075702374
316	0.30713947
317	0.3066405924
318	0.3061701457
319	0.3057346181
320	0.3051067581
321	0.3046189985
322	0.3042943253
323	0.3037984799
324	0.3032511198
325	0.3024315467
326	0.3018343673
327	0.301530137
328	0.3010666676
329	0.3003933246
330	0.2998931754
331	0.2995459076
332	0.2991511353
333	0.2987687201
334	0.2983253675
335	0.2977077125
336	0.2973007789
337	0.2967314761
338	0.2964360816
339	0.2959554949
340	0.2957127889
341	0.2950470753
342	0.2945718032
343	0.2940896841
344	0.2939606365
345	0.2935571263
346	0.293324495
347	0.2927218054
348	0.2923565726
349	0.2920436044
350	0.2917866177
351	0.2914097452
352	0.290898641
353	0.2903510852
354	0.2899665506
355	0.2898340144
356	0.2895646707
357	0.2890698034
358	0.2886082576
359	0.2882409381
360	0.2879337409
361	0.2874802809
362	0.2870663374
363	0.2866123232
364	0.2859038002
365	0.2854036511
366	0.2849381928
367	0.2846414615
368	0.2843772693
369	0.2838700775
370	0.2835262005
371	0.2832239265
372	0.2829087412
373	0.2827359061
374	0.2822600471
375	0.2817225986
376	0.2814182053
377	0.2808925922
378	0.2804961245
379	0.2799959101
380	0.2794388013
381	0.2791050316
382	0.2786401602
383	0.2781713111
384	0.2777127323
385	0.2774126102
386	0.2769839947
387	0.2765904614
388	0.2762629843
389	0.2756540347
390	0.2753557711
391	0.275031913
392	0.2746301309
393	0.2742872972
394	0.2740170079
395	0.2737160707
396	0.2732155955
397	0.2727984893
398	0.2725133814
399	0.2720137702
400	0.2716659807
401	0.2713752812
402	0.2709637177
403	0.2706141676
404	0.2701649462
405	0.2699944749
406	0.2696460659
407	0.2693736411
408	0.269006289
409	0.2686465011
410	0.2683128618
411	0.2677984971
412	0.2673625457
413	0.2670572721
414	0.266499772
415	0.2661741697
416	0.2658895672
417	0.2655371152
418	0.2653285948
419	0.2651026636
420	0.2647484999
421	0.2643888425
422	0.2640961215
423	0.2638574421
424	0.2632936983
425	0.2628256154
426	0.2623111855
427	0.2619887784
428	0.2614980681
429	0.2610684256
430	0.2608135256
431	0.2605862577
432	0.2602485429
433	0.2597592346
434	0.2595102359
435	0.2591585828
436	0.2588182107
437	0.25854784
438	0.2580408928
439	0.2578959343
440	0.2575441507
441	0.2573598389
442	0.2567865421
443	0.2566498324
444	0.2563304738
445	0.2558906914
446	0.2555926233
447	0.255246138
448	0.2549632472
449	0.2545070322
450	0.2540365203
451	0.2536826501
452	0.2532224411
453	0.2529533256
454	0.252621072
455	0.2522338965
456	0.2518186651
457	0.2513999939
458	0.2510083353
459	0.2506734082
460	0.2504191928
461	0.2499986143
462	0.2498061677
463	0.2494090154
464	0.2489218753
465	0.24863993
466	0.2484253125
467	0.2482543358
468	0.2479510185
469	0.2475653102
470	0.2471304999
471	0.2468047183
472	0.2464655037
473	0.2461615016
474	0.2458445883
475	0.2455933726
476	0.2453546443
477	0.2450587607
478	0.2448636405
479	0.2445570139
480	0.2443400326
481	0.2440782694
482	0.2437274639
483	0.2434772263
484	0.242999085
485	0.2425604926
486	0.242320346
487	0.2419652857
488	0.2417142656
489	0.2415134071
490	0.2411344805
491	0.2409345513
492	0.2407029633
493	0.2403578147
494	0.2399040287
495	0.2396048847
496	0.239500975
497	0.2392062
498	0.239045999
499	0.2388363537
500	0.238531455
501	0.2381168594
502	0.237909855
503	0.2376404135
504	0.2372381096
505	0.2369985336
506	0.2366952163
507	0.2363453074
508	0.2361124479
509	0.2357189472
510	0.2354256068
511	0.2351739671
512	0.2349545405
513	0.2346353449
514	0.2345038194
515	0.2342555706
516	0.2338329869
517	0.2336987552
518	0.2334507347
519	0.2331752451
520	0.2328139085
521	0.2325697027
522	0.2323145418
523	0.2320421822
524	0.2317454509
525	0.2315121838
526	0.2312925616
527	0.230996189
528	0.2306729504
529	0.2303256826
530	0.2301663945
531	0.2299016317
532	0.2296748039
533	0.2295200641
534	0.2293075496
535	0.2289797139
536	0.22869115
537	0.228371775
538	0.2281551198
539	0.2277311667
540	0.2274996766
541	0.2273463877
542	0.2269676078
543	0.2266378158
544	0.2264303876
545	0.2261437473
546	0.2258629106
547	0.2256044241
548	0.2251751729
549	0.2250674647
550	0.224886935
551	0.2245384934
552	0.2242487394
553	0.2239627349
554	0.2237076393
555	0.2234879844
556	0.2230346875
557	0.2228238684
558	0.2226418878
559	0.2223251538
560	0.2220352858
561	0.221977723
562	0.22168673
563	0.2214295477
564	0.2211087056
565	0.2209318275
566	0.2206988538
567	0.2203842554
568	0.2201826634
569	0.2198211148
570	0.2194339068
571	0.2190930293
572	0.2187566676
573	0.2185041313
574	0.2182051341
575	0.2179944291
576	0.2177839198
577	0.217588441
578	0.2172763042
579	0.2168942313
580	0.2166955736
581	0.2164323921
582	0.2162099659
583	0.2158496726
584	0.2154801524
585	0.215247195
586	0.2150211008
587	0.2148988349
588	0.2147075947
589	0.2146396148
590	0.2144333766
591	0.2142396258
592	0.2140318879
593	0.213843419
594	0.2134453863
595	0.2132278345
596	0.2130349151
597	0.2128209008
598	0.212538923
599	0.212131435
600	0.211959089
601	0.211697554
602	0.2115224039
603	0.2113503024
604	0.2110795567
605	0.2107755221
606	0.2106068766
607	0.2104250264
608	0.2101359571
609	0.2098607772
610	0.2096424429
611	0.209481655
612	0.209303212
613	0.2090512137
614	0.2088382428
615	0.2084496653
616	0.2081336323
617	0.207883949
618	0.2077552274
619	0.2075385232
620	0.207183088
621	0.2069385072
622	0.2067043761
623	0.2064761463
624	0.2062924866
625	0.2060794667
626	0.2058300605
627	0.205629577
628	0.2053426759
629	0.2048697186
630	0.2046385382
631	0.20440338
632	0.2042644859
633	0.2040444072
634	0.203761223
635	0.2034754957
636	0.2032404843
637	0.2030295674
638	0.2028191069
639	0.2025799548
640	0.2024435549
641	0.2019592839
642	0.2016554612
643	0.2013975616
644	0.2011778742
645	0.2009075523
646	0.2006454468
647	0.2003987304
648	0.2000690036
649	0.1998674768
650	0.1996378776
651	0.1994225918
652	0.1991439885
653	0.1988992936
654	0.1987318055
655	0.1985936287
656	0.1982085073
657	0.1978601635
658	0.1977463747
659	0.1974900074
660	0.1971866575
661	0.196740827
662	0.1965308067
663	0.1962629465
664	0.1959016262
665	0.1956373361
666	0.1955547007
667	0.1953776759
668	0.1951790182
669	0.1949189667
670	0.1946678488
671	0.1944241157
672	0.194220388
673	0.1940024286
674	0.1938162421
675	0.1936504331
676	0.1934043363
677	0.1931831327
678	0.1929866595
679	0.1927738679
680	0.1926531343
681	0.1923873771
682	0.1921735095
683	0.1920361967
684	0.1918787508
685	0.1916604653
686	0.1913240547
687	0.1911296355
688	0.1909283043
689	0.1906776428
690	0.1903279133
691	0.1900614225
692	0.1898447673
693	0.1896940704
694	0.1892943423
695	0.1890031211
696	0.1887509599
697	0.1884869633
698	0.1882938157
699	0.1880910988
700	0.1879407116
701	0.1877657246
702	0.1875857818
703	0.1873012608
704	0.1870845729
705	0.1867598509
706	0.186627983
707	0.1862409706
708	0.1860093011
709	0.1858709939
710	0.1857549553
711	0.1855814029
712	0.185404802
713	0.1851750887
714	0.184972274
715	0.1848824656
716	0.1845734099
717	0.1842981974
718	0.1840882587
719	0.1839355567
720	0.183763716
721	0.1836990943
722	0.1834329947
723	0.1830921662
724	0.1827992985
725	0.1826244745
726	0.1823600378
727	0.1820932535
728	0.1819008232
729	0.1816119985
730	0.1814570468
731	0.1812140799
732	0.1809972453
733	0.1808383648
734	0.1807419541
735	0.1804733602
736	0.1801619244
737	0.1799021338
738	0.1797676739
739	0.179615249
740	0.1792669378
741	0.1790381212
742	0.1788199009
743	0.1787750538
744	0.1784504784
745	0.1782733233
746	0.1780510112
747	0.1779103564
748	0.1777357281
749	0.1775402656
750	0.1772571629
751	0.1769445859
752	0.176656935
753	0.1765262734
754	0.1761998886
755	0.1759244479
756	0.1757168403
757	0.1754300696
758	0.1751088036
759	0.1749317463
760	0.1746597127
761	0.1743128524
762	0.17399232
763	0.1738659785
764	0.1736727657
765	0.1733963469
766	0.1729901143
767	0.1728457915
768	0.1727181785
769	0.1725708399
770	0.1723997002
771	0.1721596677
772	0.1720073243
773	0.1717902453
774	0.171575155
775	0.1712443034
776	0.1710683382
777	0.1709295746
778	0.170697416
779	0.1704770928
780	0.1702042115
781	0.1700894608
782	0.1698833857
783	0.1696617094
784	0.1694991446
785	0.1693327651
786	0.1691287277
787	0.1689128876
788	0.1687706841
789	0.1686170203
790	0.1683915945
791	0.168248038
792	0.1681011885
793	0.1679193383
794	0.167730527
795	0.1676195259
796	0.1673356733
797	0.1672448215
798	0.1669370537
799	0.1666898646
800	0.1664669656
801	0.1662570269
802	0.1660532666
803	0.165818516
804	0.165621244
805	0.1652772855
806	0.1650204292
807	0.1647693438
808	0.1645085914
809	0.1642842252
810	0.1640376556
811	0.1638574682
812	0.1636267442
813	0.1633308606
814	0.1632304069
815	0.1629898854
816	0.1628045139
817	0.1625667474
818	0.1623809358
819	0.1621102879
820	0.1619891631
821	0.161813899
822	0.1616208166
823	0.1613817786
824	0.1612652184
825	0.1611580808
826	0.1609202328
827	0.160740779
828	0.1606594151
829	0.1605115059
830	0.1603723999
831	0.1601824475
832	0.1600056836
833	0.1595582228
834	0.1593577067
835	0.1592764406
836	0.1590897161
837	0.1588973021
838	0.158752311
839	0.15860344
840	0.1582696214
841	0.1581507952
842	0.1579767048
843	0.1577333793
844	0.1573766073
845	0.1571446932
846	0.1569557516
847	0.1567320375
848	0.1564249218
849	0.15619604
850	0.15603773
851	0.1557755103
852	0.1556539291
853	0.1553304786
854	0.1551016131
855	0.1549511445
856	0.154753954
857	0.1545370216
858	0.1543620509
859	0.1541257353
860	0.1539865967
861	0.1537085476
862	0.1534325363
863	0.1533047114
864	0.1531295287
865	0.1528949412
866	0.1527761802
867	0.1526453393
868	0.1523991446
869	0.1522148328
870	0.1520568978
871	0.1518943493
872	0.1516271412
873	0.1514103392
874	0.151383294
875	0.1510965722
876	0.1509283343
877	0.1506929805
878	0.1505275465
879	0.1503470657
880	0.15012089
881	0.1499854031
882	0.1497788715
883	0.1496370104
884	0.1494557633
885	0.1493007953
886	0.1491480933
887	0.1489488977
888	0.1487162826
889	0.1485463167
890	0.1483352694
891	0.1482985733
892	0.1481672597
893	0.148014199
894	0.1476922647
895	0.1475654667
896	0.1474392231
897	0.1472937103
898	0.1471620217
899	0.1470208453
900	0.1468916999
901	0.1466875973
902	0.1464540857
903	0.1463034377
904	0.1460165692
905	0.1457377377
906	0.1456476521
907	0.1456132546
908	0.1454145317
909	0.1453499264
910	0.1451755752
911	0.144925305
912	0.1447602296
913	0.1445907039
914	0.144484577
915	0.1443086934
916	0.1440759806
917	0.1438761654
918	0.1438462673
919	0.1437956981
920	0.1436561193
921	0.1435424772
922	0.1433878516
923	0.1430973151
924	0.142907754
925	0.1425840264
926	0.1424109793
927	0.1422636896
928	0.1421145252
929	0.1419417879
930	0.1418301835
931	0.1417164599
932	0.141526801
933	0.1412482628
934	0.1410152729
935	0.1408264617
936	0.1405653505
937	0.1404020032
938	0.1401845981
939	0.1399557489
940	0.1397715838
941	0.1396233322
942	0.1394782107
943	0.1393169175
944	0.1390614306
945	0.1388723911
946	0.1387089134
947	0.1384614635
948	0.1383638137
949	0.1381428547
950	0.1379353124
951	0.1377905658
952	0.1376035804
953	0.137372074
954	0.1372481126
955	0.1371400295
956	0.1369202769
957	0.1367682433
958	0.1365930932
959	0.1363974596
960	0.1362467546
961	0.1361510774
962	0.1360327566
963	0.1358230379
964	0.1356025353
965	0.1353590224
966	0.1350937216
967	0.1348561344
968	0.1346479155
969	0.1345107087
970	0.1342150859
971	0.1339480816
972	0.1339203843
973	0.133822327
974	0.1336337522
975	0.1334348825
976	0.133319113
977	0.1332141681
978	0.1329902421
979	0.1328956979
980	0.1327268242
981	0.1325475986
982	0.1323246345
983	0.1322332203
984	0.1320301936
985	0.1318516691
986	0.1316330576
987	0.131394427
988	0.1311835672
989	0.1309784783
990	0.1308802417
991	0.1306391822
992	0.1304278251
993	0.1302119443
994	0.1300932077
995	0.1299834944
996	0.1298376556
997	0.1296164358
998	0.1295873283
999	0.1294542459
